game_id,show_number,air_date,comments,contestant,final_score,winner,url,season
591,2827,1996-12-10T00:00:00Z,,Rosemary Foster,2799,FALSE,https://j-archive.com/showgame.php?game_id=591,13
591,2827,1996-12-10T00:00:00Z,,Cynthia Edmunds,6800,FALSE,https://j-archive.com/showgame.php?game_id=591,13
591,2827,1996-12-10T00:00:00Z,,Brad Smith,11599,TRUE,https://j-archive.com/showgame.php?game_id=591,13
589,2826,1996-12-09T00:00:00Z,,Clark Adams,7500,FALSE,https://j-archive.com/showgame.php?game_id=589,13
589,2826,1996-12-09T00:00:00Z,,Wade Markel,9900,FALSE,https://j-archive.com/showgame.php?game_id=589,13
589,2826,1996-12-09T00:00:00Z,,Rosemary Foster,12601,TRUE,https://j-archive.com/showgame.php?game_id=589,13
587,2825,1996-12-06T00:00:00Z,Daily Double at Double Jeopardy! Round clue 22 featured in the 1999 film Baby Geniuses.,Gay Mollette,10199,FALSE,https://j-archive.com/showgame.php?game_id=587,13
587,2825,1996-12-06T00:00:00Z,Daily Double at Double Jeopardy! Round clue 22 featured in the 1999 film Baby Geniuses.,Clark Adams,10401,TRUE,https://j-archive.com/showgame.php?game_id=587,13
587,2825,1996-12-06T00:00:00Z,Daily Double at Double Jeopardy! Round clue 22 featured in the 1999 film Baby Geniuses.,Donna Craig,10201,FALSE,https://j-archive.com/showgame.php?game_id=587,13
586,2824,1996-12-05T00:00:00Z,,Gay Mollette,6000,TRUE,https://j-archive.com/showgame.php?game_id=586,13
586,2824,1996-12-05T00:00:00Z,,Glenn Salzman,5399,FALSE,https://j-archive.com/showgame.php?game_id=586,13
586,2824,1996-12-05T00:00:00Z,,Sally Donovan,3900,FALSE,https://j-archive.com/showgame.php?game_id=586,13
584,2823,1996-12-04T00:00:00Z,,Gay Mollette,9601,TRUE,https://j-archive.com/showgame.php?game_id=584,13
584,2823,1996-12-04T00:00:00Z,,Curtis Scott,3200,FALSE,https://j-archive.com/showgame.php?game_id=584,13
584,2823,1996-12-04T00:00:00Z,,Tim Lorch,2599,FALSE,https://j-archive.com/showgame.php?game_id=584,13
4937,2822,1996-12-03T00:00:00Z,,Harry Barker,4799,FALSE,https://j-archive.com/showgame.php?game_id=4937,13
4937,2822,1996-12-03T00:00:00Z,,David Itkin,1399,FALSE,https://j-archive.com/showgame.php?game_id=4937,13
4937,2822,1996-12-03T00:00:00Z,,Gay Mollette,8400,TRUE,https://j-archive.com/showgame.php?game_id=4937,13
3509,2821,1996-12-02T00:00:00Z,,Marv Macintyre,1,FALSE,https://j-archive.com/showgame.php?game_id=3509,13
3509,2821,1996-12-02T00:00:00Z,,Harry Barker,5399,TRUE,https://j-archive.com/showgame.php?game_id=3509,13
3509,2821,1996-12-02T00:00:00Z,,Helen Andrews,3100,FALSE,https://j-archive.com/showgame.php?game_id=3509,13
195,2820,1996-11-29T00:00:00Z,1996 Tournament of Champions final game 2.,Bob Scarpone,0,FALSE,https://j-archive.com/showgame.php?game_id=195,13
195,2820,1996-11-29T00:00:00Z,1996 Tournament of Champions final game 2.,Michael Daunt,9400,TRUE,https://j-archive.com/showgame.php?game_id=195,13
195,2820,1996-11-29T00:00:00Z,1996 Tournament of Champions final game 2.,Michael Daunt,0,FALSE,https://j-archive.com/showgame.php?game_id=195,13
190,2819,1996-11-28T00:00:00Z,1996 Tournament of Champions final game 1.,Bob Scarpone,11000,FALSE,https://j-archive.com/showgame.php?game_id=190,13
190,2819,1996-11-28T00:00:00Z,1996 Tournament of Champions final game 1.,Michael Daunt,12900,TRUE,https://j-archive.com/showgame.php?game_id=190,13
